"Category","Status","Risk","NexusModId","LogFile","SourceLog"
"Installed standard path","installed-standard-or-script-merged","medium","7732","install-alcohol-factory-7732-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-alcohol-factory-7732-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","5503","install-all-gear-enchanting-sockets-5503-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-all-gear-enchanting-sockets-5503-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","","install-amm-2026-06-21.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-amm-2026-06-21.md"
"Installed standard path","installed-standard-or-script-merged","medium","5722","install-amm-async-5722-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-amm-async-5722-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","11636","install-anarietta-overhaul-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-anarietta-overhaul-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","1134;7428;3733;7424;8841","install-appearance-batch-1134-7428-3733-7424-8841-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-appearance-batch-1134-7428-3733-7424-8841-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","11686","install-attack-collision-overhaul-giants-11686-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-attack-collision-overhaul-giants-11686-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","10530","install-attack-collision-overhaul-leshens-10530-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-attack-collision-overhaul-leshens-10530-2026-06-23.md"
"Removed / quarantined","quarantined-or-disabled","high","11004","install-attempt-palace-extended-11004-quarantined-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-attempt-palace-extended-11004-quarantined-2026-06-25.md"
"Installed standard path","installed-standard-or-script-merged","medium","11382","install-auto-gloves-mask-off-11382-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-auto-gloves-mask-off-11382-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","11743","install-auto-loot-redux-11743-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-auto-loot-redux-11743-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","6880","install-basic-cooking-recipes-6880-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-basic-cooking-recipes-6880-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","10447","install-better-grass-ao-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-better-grass-ao-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","10256","install-better-icons-w3ee-10256-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-better-icons-w3ee-10256-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","3201","install-brothel-addicted-core-3201-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-brothel-addicted-core-3201-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","3201","install-brothel-addicted-options-3201-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-brothel-addicted-options-3201-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","11260","install-brothers-in-arms-11260-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-brothers-in-arms-11260-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","4046","install-cape-hood-helmet-toggle-4046-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-cape-hood-helmet-toggle-4046-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","7129","install-cerys-shieldmaiden-7129-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-cerys-shieldmaiden-7129-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","10556","install-ciri-scene-restored-10556-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-ciri-scene-restored-10556-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","8152","install-ciris-fate-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-ciris-fate-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","445","install-ciri-sword-lfss-445-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-ciri-sword-lfss-445-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","9651","install-ciri-witcher-ending-restoration-9651-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-ciri-witcher-ending-restoration-9651-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","7523","install-colored-subtitles-7523-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-colored-subtitles-7523-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","11862","install-correct-burning-name-11862-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-correct-burning-name-11862-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","8683","install-corvo-bianco-plantation-8683-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-corvo-bianco-plantation-8683-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","3287","install-corvo-bianco-variants-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-corvo-bianco-variants-2026-06-22.md"
"Installed with adjustments / partial","installed-partial-or-adjusted","high","10503","install-counterattack-fixes-10503-partial-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-counterattack-fixes-10503-partial-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","3272","install-dense-rainfall-3272-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-dense-rainfall-3272-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","10256","install-e3-better-icons-patch-10256-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-e3-better-icons-patch-10256-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","2996","install-e3-colored-loading-screens-2996-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-e3-colored-loading-screens-2996-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","9478","install-e3-hud-w3ee-redux-ng-9478-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-e3-hud-w3ee-redux-ng-9478-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","9957","install-e3-quen-w3ee-9957-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-e3-quen-w3ee-9957-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","7269","install-enhanced-herbalism-7269-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-enhanced-herbalism-7269-2026-06-25.md"
"Installed standard path","installed-standard-or-script-merged","medium","12230","install-environment-overhaul-12230-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-environment-overhaul-12230-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","7488","install-events-7488-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-events-7488-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","12293","install-everlasting-shrines-verna-12293-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-everlasting-shrines-verna-12293-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","12249","install-extra-skill-slots-12249-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-extra-skill-slots-12249-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","","install-final-safe-download-batch-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-final-safe-download-batch-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","7173","install-fix-stuck-quest-items-7173-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-fix-stuck-quest-items-7173-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","8707","install-foces-economy-system-8707-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-foces-economy-system-8707-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","11321;12221","install-food-rebalance-redux-11321-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-food-rebalance-redux-11321-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","7343","install-friendly-meditation-7343-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-friendly-meditation-7343-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","11651","install-full-manticore-w3ee-redux-11651-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-full-manticore-w3ee-redux-11651-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","10593","install-gameplay-mimics-fix-10593-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-gameplay-mimics-fix-10593-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","5384","install-geralt-in-brothel-5384-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-geralt-in-brothel-5384-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","4809","install-geralt-the-master-cook-4809-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-geralt-the-master-cook-4809-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","4287;8128;2109","install-gwent-redux-w3ee-redux-patch-8128-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-gwent-redux-w3ee-redux-patch-8128-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","3580","install-hdmr5-nextgen-3580-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-hdmr5-nextgen-3580-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","9963;9987","install-hdrp-nextgen-9963-bia-patch-9987-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-hdrp-nextgen-9963-bia-patch-9987-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","10021","install-hdrp-test-apple-10021-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-hdrp-test-apple-10021-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","8699","install-herbal-plantology-corvo-bianco-8699-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-herbal-plantology-corvo-bianco-8699-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","8658","install-honey-workshop-corvo-bianco-8658-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-honey-workshop-corvo-bianco-8658-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","4242","install-hoods-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-hoods-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","7302","install-ice-breath-next-gen-7302-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-ice-breath-next-gen-7302-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","8997","install-icy-ocean-8997-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-icy-ocean-8997-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","4438","install-immersive-rewards-4438-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-immersive-rewards-4438-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","8548","install-immersive-wine-cellar-8548-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-immersive-wine-cellar-8548-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","10978","install-kaer-morhen-enhanced-10978-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-kaer-morhen-enhanced-10978-2026-06-25.md"
"Installed standard path","installed-standard-or-script-merged","medium","11934","install-kaer-morhen-extended-11934-base-test-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-kaer-morhen-extended-11934-base-test-2026-06-25.md"
"Installed standard path","installed-standard-or-script-merged","medium","9563","install-kaer-morhen-restored-splendor-9563-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-kaer-morhen-restored-splendor-9563-2026-06-25.md"
"Installed standard path","installed-standard-or-script-merged","medium","2143","install-knight-accessories-2143-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-knight-accessories-2143-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","742","install-laion-bear-armor-2026-06-21.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-laion-bear-armor-2026-06-21.md"
"Installed standard path","installed-standard-or-script-merged","medium","9022","install-larger-white-orchard-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-larger-white-orchard-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","10653","install-last-wish-final-scene-restoration-10653-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-last-wish-final-scene-restoration-10653-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","11732","install-lead-ore-w3ee-redux-11732-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-lead-ore-w3ee-redux-11732-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","3684","install-less-is-more-3684-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-less-is-more-3684-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","9358","install-less-music-9358-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-less-music-9358-2026-06-23.md"
