"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-24 06:46:54","11556","inventoryComponent-11556-1-0-1765403323.rar","0.03","https://www.nexusmods.com/witcher3/mods/11556","C:\Users\marti\Downloads\inventoryComponent-11556-1-0-1765403323.rar","triage",""
"2026-06-24 06:46:40","11556","Sword and Axe and Extra-REDUX gweent patch-11556-1-0-1767318094.rar","8.84","https://www.nexusmods.com/witcher3/mods/11556","C:\Users\marti\Downloads\Sword and Axe and Extra-REDUX gweent patch-11556-1-0-1767318094.rar","triage",""
"2026-06-24 06:46:12","11556","Basic Cooking Recipes patch-11556-1-0-1768698173.rar","0","https://www.nexusmods.com/witcher3/mods/11556","C:\Users\marti\Downloads\Basic Cooking Recipes patch-11556-1-0-1768698173.rar","triage",""
"2026-06-24 06:45:51","11556","Sword and Axe and Extra Skill Slots-11556-1-0-1765230402.rar","0.02","https://www.nexusmods.com/witcher3/mods/11556","C:\Users\marti\Downloads\Sword and Axe and Extra Skill Slots-11556-1-0-1765230402.rar","triage",""
"2026-06-24 00:30:10","8258","Time of the Sword and Axe-8258-0-4b-1700804814.7z","82.21","https://www.nexusmods.com/witcher3/mods/8258","C:\Users\marti\Downloads\Time of the Sword and Axe-8258-0-4b-1700804814.7z","triage",""
"2026-06-24 00:02:19","8258","Time of the Sword and Axe - PDF Manual-8258-0-4-1704416398.zip","0.27","https://www.nexusmods.com/witcher3/mods/8258","C:\Users\marti\Downloads\Time of the Sword and Axe - PDF Manual-8258-0-4-1704416398.zip","triage",""
"2026-06-24 00:00:23","5256","Main Menu Background Replacer-5256-1-0-1643718731.rar","358.57","https://www.nexusmods.com/witcher3/mods/5256","C:\Users\marti\Downloads\Main Menu Background Replacer-5256-1-0-1643718731.rar","triage",""
"2026-06-23 23:56:50","7250","Yellow Mutagens-7250-3-01-1718465651.zip","0.15","https://www.nexusmods.com/witcher3/mods/7250","C:\Users\marti\Downloads\Yellow Mutagens-7250-3-01-1718465651.zip","triage",""
"2026-06-23 23:56:31","5256","Vladimir UI (For 4.04-NextGen)-5256-2-2-1-Bandaid-1692717594.rar","558.42","https://www.nexusmods.com/witcher3/mods/5256","C:\Users\marti\Downloads\Vladimir UI (For 4.04-NextGen)-5256-2-2-1-Bandaid-1692717594.rar","triage",""
"2026-06-23 23:55:45","8081","Alchemy Primer-8081-1-12-1-1768345333.7z","1.01","https://www.nexusmods.com/witcher3/mods/8081","C:\Users\marti\Downloads\Alchemy Primer-8081-1-12-1-1768345333.7z","triage",""
"2026-06-23 23:55:12","8081","Immersion and Balance Addons-8081-1-0-1768345910.zip","0.16","https://www.nexusmods.com/witcher3/mods/8081","C:\Users\marti\Downloads\Immersion and Balance Addons-8081-1-0-1768345910.zip","triage",""
"2026-06-23 23:53:54","5256","Extra Skill Slots and Mutations Patch-5256-2-1-1643665597.zip","2.73","https://www.nexusmods.com/witcher3/mods/5256","C:\Users\marti\Downloads\Extra Skill Slots and Mutations Patch-5256-2-1-1643665597.zip","triage",""
"2026-06-23 23:53:22","5256","Gwent Redux - Patch for Vladimir UI-5256-1-0-1656179419.7z","11.64","https://www.nexusmods.com/witcher3/mods/5256","C:\Users\marti\Downloads\Gwent Redux - Patch for Vladimir UI-5256-1-0-1656179419.7z","triage",""
"2026-06-23 23:51:27","12308","Alchemy-v1.12.1_BIDE-v1.8.3 NG Patch-12308-1-0-0-1780592692.7z","0","https://www.nexusmods.com/witcher3/mods/12308","C:\Users\marti\Downloads\Alchemy-v1.12.1_BIDE-v1.8.3 NG Patch-12308-1-0-0-1780592692.7z","triage",""
"2026-06-23 23:48:50","5256","Gwent Redux - Vanilla Spy Effect - Patch for Vladimir UI-5256-1-0-1656179500.7z","11.64","https://www.nexusmods.com/witcher3/mods/5256","C:\Users\marti\Downloads\Gwent Redux - Vanilla Spy Effect - Patch for Vladimir UI-5256-1-0-1656179500.7z","triage",""
"2026-06-23 23:48:24","5256","W3 Enhanced Edition Patch-5256-1-0-1665269834.7z","17.22","https://www.nexusmods.com/witcher3/mods/5256","C:\Users\marti\Downloads\W3 Enhanced Edition Patch-5256-1-0-1665269834.7z","triage",""
"2026-06-23 23:28:16","7523","Colored Subtitles (NextGen)-7523-2-0-1725933554.zip","0.04","https://www.nexusmods.com/witcher3/mods/7523","C:\Users\marti\Downloads\Colored Subtitles (NextGen)-7523-2-0-1725933554.zip","triage",""
